Structure,extinction_coefficient,C,H,N,O,S,Cl,CH3,SO3,Benzene,C Chain,COOH,N Rings,O Rings,C links
Rhodamine B,106000,28,31,2,3,,,,,,0,,,,
Riboflavin,33000,17,20,4,6,,,,,,0,,,,
Rose bengal,90400,20,2,0,5,,,,,,0,,,,
Rubrene,127000,42,28,0,0,,,,,,0,,,,
Rutin trihydrate,25000,27,36,0,19,,,,,,0,,,,
Squarylium dye III,309000,20,20,2,2,,,,,,0,,,,
Stains all,96500,30,27,2,0,,,,,,0,,,,
Styrene,14700,8,8,0,0,,,,,,0,,,,
Sudan I,14500,16,12,2,1,,,,,,0,,,,
Sudan II,15800,18,16,2,1,,,,,,0,,,,
Sudan III,30000,22,16,4,1,,,,,,0,,,,
Sudan IV,32500,24,20,4,1,,,,,,0,,,,
